"Rowid_","ID","YEAR","FULL_ADDRE","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE","Join_id","String","CHECK","AFFILIAT_0","AFFILIAT1","UPDATETAG","State","US_county_id","US_county_name","US_metro_id","US_metro_name","Other_metro","Europe_NUTS_3_rev"
49,"WOS:000327747700019",2013,"Univ Florida, Dept Astron, Bryant Space Sci Ctr 211, Gainesville, FL 32611 USA","Gainesville","FL","USA",29.6519508362,-82.3231811523,23540,"Gainesville FL United States","old mapped address",1365,1508,0,"Florida",308548,"Alachua County",23540,"Gainesville, FL Metro Area"," "," "
50,"WOS:000265131700007",2008,"McGill Univ, Dept Med & Human Genet, Montreal, PQ H3A 2T5, Canada","Montreal","PQ","Canada",45.51720047,-73.5498962402,"Montreal QC Canada","Montreal QC Canada","old mapped address",1217,1447,0," "," "," "," "," ","Montreal QC Canada"," "
51,"WOS:000272277700009",2009,"Univ Tokyo, Dept Neurophysiol, Grad Sch Med, Tokyo 1088639, Japan","Tokyo"," ","Japan",35.6832084656,139.808944702,"Tokyo Japan","Tokyo Tokyo Japan","old mapped address",1215,1298,0," "," "," "," "," ","Tokyo"," "
52,"WOS:000316513500004",2013,"Univ Roma La Sapienza, Dipartimento Fis, I-00185 Rome, Italy","Rome"," ","Italy",41.903049469,12.4958000183,"ITI43","Rome Laz. Italy","old mapped address",867,1174,0," "," "," "," "," "," ","ITI43"
53,"WOS:000283950100016",2010,"Univ Rochester, Med Ctr, Rochester, NY 14642 USA","Rochester","NY","USA",43.1557998657,-77.616317749,40380,"Rochester NY United States","old mapped address",1056,1416,0,"New York",974126,"Monroe County",40380,"Rochester, NY Metro Area"," "," "
54,"WOS:000309961000008",2012,"Vanderbilt Univ, Med Ctr, Dept Pediat Surg, Nashville, TN USA","Nashville","TN","USA",36.1678390503,-86.7781600952,34980,"Nashville TN United States","old mapped address",1333,1384,0,"Tennessee",1639737,"Davidson County",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"," "," "
55,"WOS:000330355800008",2013,"Univ Calif San Diego, Dept Psychiat, San Diego, CA 92103 USA","San Diego","CA","USA",32.7156906128,-117.161720276,41740,"San Diego CA United States","old mapped address",1437,1446,0,"California",277301,"San Diego County",41740,"San Diego-Carlsbad, CA Metro Area"," "," "
56,"WOS:000308544200009",2012,"Univ Oxford, John Radcliffe Hosp, Nuffield Dept Clin Lab Sci, Div Med Sci, Oxford OX3 9DU, Oxon, England","Oxford","Oxon","England",51.7471008301,-1.2568700314,"UKJ14","Oxford England United Kingdom","old mapped address",857,1013,0," "," "," "," "," "," ","UKJ14"
57,"WOS:000270097600010",2009,"Univ Oxford, Corpus Christi Coll, Oxford OX1 2JD, England","Oxford"," ","England",51.7471008301,-1.2568700314,"UKJ14","Oxford England United Kingdom","old mapped address",850,1006,0," "," "," "," "," "," ","UKJ14"
58,"WOS:000297159700028",2011,"Childrens Hosp, Birmingham, AL USA","Birmingham","AL","USA",33.5206794739,-86.8117599487,13820,"Birmingham AL United States","old mapped address",1386,1390,0,"Alabama",161562,"Jefferson County",13820,"Birmingham-Hoover, AL Metro Area"," "," "
