id, name, Metro_name, latitude, longitude, mergeList, totalDegree
6298,"Mildura Airport","Mildura",-34.2292,142.086,6298|,1440.0
4056,"Mulu","Mulu",4.048333,114.805,4056|,1440.0
1183,"Mwanza","Mwanza",-2.444486,32.932667,1183|,1440.0
6320,"Port Macquarie Airport","Port Macquarie",-31.4358,152.863,6320|,1440.0
1830,"Tajin","Poza Rico",20.602671,-97.460839,1830|,1440.0
2753,"El Carano","Quibdo",5.690758,-76.641181,2753|,1440.0
2903,"Terrance B Lettsome Intl","Tortola",18.444834,-64.542975,2903|,1440.0
6,"Wewak Intl","Wewak",-3.583828,143.669186,6|,1440.0
2011,"Dunedin","Dunedin",-45.928055,170.198333,2011|,1438.0
8826,"Changbaishan Airport","Baishan",42.088056,127.548889,8826|,1416.0
1278,"La Roche","FR631",45.150833,1.469167,1278|1290|,1408.0
4082,"Phu Bai","Hue",16.401499,107.702614,4082|3201|,1400.0
2604,"Senador Nilo Coelho","Petrolina",-9.362411,-40.569097,2604|,1400.0
6433,"Dandong","Dandong",40.0255,124.2866,6433|,1388.0
2227,"Sukkur","Sukkur",27.721989,68.791683,2227|,1388.0
5954,"Sayun International Airport","Sayun Intl",15.966111,48.7883,5954|,1380.0
804,"George","George",-34.005553,22.378889,804|,1376.0
1276,"Lourdes","FR626",43.178675,-0.006439,1276|,1368.0
3620,"Deadhorse",1419978,70.19475,-148.465167,3620|3571|3411|6721|7092|3414|6712|7220|6714|3413|3412|7089|,1360.0
5939,"Bahawalpur Airport","Bahawalpur",29.3481,71.717981,5939|,1360.0
4291,"Ballina Byron Gateway","Ballina Byron Bay",-28.833889,153.5625,4291|,1360.0
5496,"Kuujjuarapik Airport","Kuujjuarapik",55.2819,-77.7653,5496|,1360.0
154,"Kuujjuaq","Quujjuaq",58.096111,-68.426944,154|,1360.0
2708,"Palonegro","Bucaramanga",7.1265,-73.184778,2708|,1357.0
2051,"Kandahar","Kandahar",31.505756,65.847822,2051|,1356.0
2490,"Almirante Zar","Trelew",-43.2105,-65.270319,2490|,1352.0
3396,"Qingshan","Xichang",27.989083,102.184361,3396|,1344.0
234,"Touat Cheikh Sidi Mohamed Belkebir","Adrar",27.837589,-0.186414,234|,1340.0
3092,"Dehradun","Dehra Dun",30.189689,78.180256,3092|,1333.3333740234
2361,"Gwangju","Kwangju",35.126389,126.808889,2361|,1329.0
6432,"Jiayuguan Airport","Jiayuguan",39.8569,98.3414,6432|,1328.0
3296,"Sultan Abdul Halim","Alor Setar",6.189667,100.398183,3296|,1326.0
4297,"Tomsk Bogashevo Airport","Tomsk",56.380278,85.208333,4297|,1322.0
1594,"Eilat","Elat",29.561281,34.960081,1594|,1321.5
6148,"Andizhan Airport","Andizhan",40.7277,72.294,6148|,1320.0
