id,name,city,country,IATA_FFA,CIAO,Latitude,longitude,totalDegre,ID_metro,affil_ID,Lat_met,Lon_met
1229,Barajas,Madrid,Spain,MAD,LEMD,40.493556,-3.566764,125767.183044,ES300,"Ctr Invest Energet Medioambientales & Tecnol, E-28040 Madrid, Spain,40.4202804565,-3.7057700157,Madrid Community of Madrid Spain,1039,80|737|1625|1905|2041|2095|2220|2274|2473|2653|2832|3004|3194|3277|3278|3568|3908|3952|3953|4180|4363|4536|4542|4664|486",40.42028,-3.70577
6757,Burgos Airport,Burgos,Spain,RGS,LEBG,42.357628,-3.620764,240,ES412,"Univ Burgos, Burgos 09001, Spain,42.3496017456,-3.6720099449,Burgos Castilla and Leon Spain,20,1256,20|,Burgos Castilla and Leon Spain|",42.349602,-3.67201
1238,Salamanca,Salamanca,Spain,SLM,LESA,40.952117,-5.501986,240,ES415,"Univ Salamanca, Dept Microbiol & Genet, E-37008 Salamanca, Spain,40.9496002197,-5.6692700386,Salamanca Castilla and Leon Spain,54,745,54|,Salamanca Castilla and Leon Spain|",40.9496,-5.66927
1247,Valladolid,Valladolid,Spain,VLL,LEVD,41.706111,-4.851944,1020,ES418,"Univ Valladolid, Dept Fis Teor, E-47011 Valladolid, Spain,41.6423988342,-4.7627100945,Valladolid Castilla and Leon Spain,22,1132|2637|5878,20|1|1|,Valladolid Castilla and Leon Spain|Leon  Spain|Boecillo  Spain|",41.642399,-4.76271
1219,Talavera La Real,Badajoz,Spain,BJZ,LEBZ,38.89125,-6.821333,480,ES431,"UEX, Dept Anat Humana, Badajoz, Spain,38.8672981262,-6.9803800583,Badajoz Estremadura Spain,18,1254,18|,Badajoz Estremadura Spain|",38.867298,-6.98038
1218,Barcelona,Barcelona,Spain,BCN,LEBL,41.297078,2.078464,125479.583237,ES511,"Univ Autonoma Barcelona, Inst Fis Altes Energies, E-08193 Barcelona, Spain,41.387298584,2.1686398983,Barcelona Catalonia Spain,842,69|528|761|911|991|1115|1860|2049|2130|3270|3322|3383|3516|3643|4560|4940|5422|5498|6114|6330|6409,723|12|25|27|16|21|0|4|0",41.387299,2.16864
1222,Girona,Gerona,Spain,GRO,LEGE,41.900969,2.760547,15588,ES512,"Catalan Inst Water Res ICRA, Girona 17003, Spain,41.976600647,2.8107500076,Girona Catalonia Spain,35,955|1903|4134|5946,24|8|2|1|,Girona Catalonia Spain|Blanes  Spain|Catalonia Girona Spain|Blanes Girona Spain|",41.976601,2.81075
7459,Lleida-Alguaire Airport,Lleida,Spain,ILD,LEDA,41.727778,0.535833,240,ES513,"Univ Lleida, Dept Matemat, Lleida 25001, Spain,41.6251983643,0.641110003,Lleida Catalonia Spain,3,2294|3300,1|2|,Catalonia Spain|Lleida Catalonia Spain|",41.625198,0.64111
1236,Reus,Reus,Spain,REU,LERS,41.147392,1.167172,6116,ES514,"Hosp Univ Joan XXIII, Tarragona, Spain,41.1178016663,1.2370500565,Tarragona Catalonia Spain,45,848|1534|2833|2834,39|0|4|2|,Tarragona Catalonia Spain|Reus Catalonia Spain|Tarragona Catalonia Spain|Reus Catalonia Spain|",41.117802,1.23705
1212,Alicante,Alicante,Spain,ALC,LEAL,38.282169,-0.558156,48490,ES521,"Miguel Hernandez Univ, Dept Appl Biol, Alicante, Spain,38.3009986877,-0.5374799967,Alicante Valencian Community Spain,43,887|2488|4815|6285,38|5|0|0|,Alicante Valencian Community Spain|Sant Joan dAlacant  Spain|Alacant  Spain|Elche  Spain|",38.300999,-0.53748
1246,Valencia,Valencia,Spain,VLC,LEVC,39.489314,-0.481625,23512,ES523,"Univ Valencia, Inst Fis Corpuscular, E-46071 Valencia, Spain,39.4631004333,-0.3253200054,Valencia Valencian Community Spain,130,112|2880|2919|4306|6007|6719,123|3|3|0|1|0|,Valencia Valencian Community Spain|Burjasot Valencian Community Spain|Burjasot Val",39.4631,-0.32532
3998,Son Sant Joan,Palma de Mallorca,Spain,PMI,LEPA,39.55361,2.727778,85262.000244,ES532,"IEO, Ctr Oceanog Baleares, Palma de Mallorca 07015, Spain,39.5723991394,2.6497199535,Palma Autonoma of Balearic Islands Spain,21,1003|1859|3545|4722|5423,16|1|2|1|1|,Palma Autonoma of Balearic Islands Spain|Palma Autonoma of Balearic Islands Spain|Mallor",39.572399,2.64972
1213,Almeria,Almeria,Spain,LEI,LEAM,36.843936,-2.370097,5494,ES611,"Estn Expt Zonas Aridas CSIC, Dept Ecol Func & Evolut, ES-04120 Almeria, Spain,36.8468017578,-2.4534099102,AlmerÄ‚Â­a Andalusia Spain,36,956|5061,35|1|,AlmerÄ‚Â­a Andalusia Spain|Cuevas del Almanzora Andalusia Spain|",36.846802,-2.45341
1226,Jerez,Jerez,Spain,XRY,LEJR,36.744622,-6.060111,6714.666626,ES612,"Univ Cadiz, Fac Ciencias Mar & Ambientales, Cadiz 11510, Spain,36.5355987549,-6.298019886,Cadiz  Spain,6,2260|6670,6|0|,Cadiz  Spain|El Palmar Andalusia Spain|",36.535599,-6.29802
1223,Granada,Granada,Spain,GRX,LEGR,37.188731,-3.777356,2400,ES614,"Univ Granada, Sch Dent, Oral Surg & Implant Dent Dept, Granada, Spain,37.2935371399,-3.2729349136,GR Andalusia Spain,228,288|4721,227|1|,GR Andalusia Spain|Armilla Granada Spain|",37.293537,-3.272935
1230,Malaga,Malaga,Spain,AGP,LEMG,36.6749,-4.499106,62993.666626,ES617,"Univ Malaga, Escuela Tech Super Ingn Ind, Malaga 29013, Spain,36.7215003967,-4.4422798157,MÄ‚Ë‡laga Andalusia Spain,31,865,31|,MÄ‚Ë‡laga Andalusia Spain|",36.7215,-4.44228
1253,Sevilla,Sevilla,Spain,SVQ,LEZL,37.418,-5.893106,19086,ES618,"Univ Pablo de Olavide, CSIC, Ctr Andaluz Biol Desarrollo, Seville, Spain,37.3879089355,-6.0019598007,Seville Andalusia Spain,69,644|3390,69|0|,Seville Andalusia Spain|Tijarafe La Palma Spain|",37.387909,-6.00196
1227,Murcia San Javier,Murcia,Spain,MJV,LELC,37.774972,-0.812389,5822.666626,ES620,"Univ Murcia, Fac Med, Dept Salud & Ciencias Sociales, E-30100 Murcia, Spain,37.9761009216,-1.1448199749,Murcia RegiÄ‚Ĺ‚n de Murcia Spain,31,1034|3199,28|3|,Murcia RegiÄ‚Ĺ‚n de Murcia Spain|Cartagena  Spain|",37.976101,-1.14482
1054,Gran Canaria,Gran Canaria,Spain,LPA,GCLP,27.931886,-15.386586,47700.666687,ES705,"Ocean Platform Canary Islands PLOCAN, Las Palmas Gran Canaria 35200, Spain,28.1310005188,-15.4435997009,Las Palmas Canary Islands Spain,15,1488|3397|3747|5622,12|0|2|1|,Las Palmas Canary Islands Spain|La Palma  Spain|Telde Gran Canaria Spain|Telde  Spain",28.131001,-15.4436
