Source,Target,Id,duplicate,UMich,ASU,IUB,IUPUI,Dist2Air,MASS,Seats0Stop,Seats1Stop,Seats2Stop,Seats3Stop,Lines0Stop,Lines1Stop,Lines2Stop,Lines3Stop
"n0","n1403","e32450",1,1,,,,5.058893412003373,312.0,0.0,366.742416417845,2118.7711537143155,88646.94851290845,0.0,2.0,12.079368399158984,94.85919943069794
"n0","n1404","e22943",1,1,,,,26.81249348708424,5160.0,0.0,0.0,1385.4701545183646,12891.31472730359,0.0,0.0,7.416859538532378,69.50719307220572
"n0","n1406","e22965",1,1,,,,7.223525119651384,7059.0,0.0,686.5056445507204,3548.8984173235867,121454.69156639415,0.0,3.4641016151377544,19.219495753070515,136.31723222175034
"n0","n1408","e23036",1,1,,,,52.93655396466818,54.0,0.0,0.0,633.5060587680139,5419.720490977702,0.0,0.0,4.121285299808556,32.49504392127272
"n0","n1409","e26765",1,1,,,,43.75000689487669,278.0,0.0,717.5792639144473,3547.099001964489,124433.42355574403,0.0,3.872983346207417,19.71916559103327,141.4237258184187
"n0","n1410","e58715",1,1,,,,33.74318191718581,1884.0,0.0,717.5792639144473,3547.099001964489,124433.42355574403,0.0,3.872983346207417,19.71916559103327,141.4237258184187
"n0","n1412","e29582",1,1,,,,7.250087055216403,1040.0,120.0,1612.783766993733,5988.3173810029675,177405.44412979358,1.0,12.575836902790225,42.45199302945116,226.24022295726655
"n0","n1413","e29177",1,1,,,,3.6023948543864677,4246.0,0.0,0.0,1158.37137681353,10310.607356080745,0.0,0.0,6.518683915173769,58.866536939492676
"n0","n1414","e23081",1,1,,,,44.85550575285852,139.0,0.0,0.0,1576.635509131066,12945.35996472041,0.0,0.0,8.097758867857012,68.46750142936021
"n0","n1415","e23193",1,1,,,,17.676657153482257,1764.0,0.0,0.0,1553.1244414727632,23706.010396660717,0.0,0.0,7.617411603093271,65.99635728952667
"n0","n1416","e23223",1,1,,,,22.889463501283966,124.0,0.0,1236.6793575269755,5585.540418081267,172673.89706886222,0.0,5.291502622129181,25.372838067668326,164.42895183458336
"n0","n1418","e23264",1,1,,,,3.256273774641595,5477.0,0.0,0.0,1194.0756018583534,14699.473840020262,0.0,0.0,7.006796120773448,57.64022531659894
"n0","n1419","e23268",1,1,,,,12.991422337115472,780.0,0.0,0.0,1382.7574179447677,16420.389535465347,0.0,0.0,6.626705387476669,59.31623863147062
"n0","n1420","e23286",1,1,,,,12.969240666133373,14134.0,0.0,2222.287991387855,8502.698674996125,267314.7906988882,0.0,9.848857801796104,39.5117506152456,245.65658385344594
"n0","n1422","e42949",1,1,,,,46.450784064315044,13.0,0.0,0.0,260.4455870032704,1123.5694918622094,0.0,0.0,2.0,8.42679958113887
"n0","n1423","e23474",1,1,,,,2.294222095664202,759.0,0.0,0.0,750.4536277960023,6027.0652493304615,0.0,0.0,3.5568933044900626,27.671393233917055
"n0","n1424","e23548",26,1,,,,42.79821719504075,1.0,0.0,657.2670690061993,2690.0368375249354,114146.40138174512,0.0,2.449489742783178,11.243149087099535,88.40661199276538
"n0","n1426","e23602",1,1,,,,27.55039281538373,103.0,0.0,642.7674540609535,3272.3578701123843,112329.19652987315,0.0,4.242640687119285,20.894137995853924,127.03495276321158
"n0","n1427","e47304",1,1,,,,12.487202903622045,58563.0,0.0,3424.4160511927676,11550.22079257052,432620.58252021193,0.0,17.291616465790582,58.73475725624787,348.1726914664025
"n0","n1429","e23725",1,1,,,,6.371514944573593,272.0,0.0,0.0,509.3615660242307,3752.511301765019,0.0,0.0,3.1413806523913927,22.82087397358413
"n0","n1430","e25701",1,1,,,,19.356562587648114,546.0,0.0,2955.1109186740637,10389.349570342056,406838.40939392697,0.0,15.0,52.95423854274676,318.1006952879055
"n0","n1431","e38598",1,1,,,,49.15745190840141,404.0,395.66666666666663,4513.244613327228,13192.69734725086,465287.306324256,3.0,28.45584412271571,79.68891804940515,402.6861278506576
"n0","n1433","e23824",1,1,,,,44.8556580734831,211.0,0.0,1006.3074000191657,4902.037412770175,155623.51758693825,0.0,4.58257569495584,25.522692320484932,170.36054547574184
"n0","n1434","e23916",2,1,,,,5.446946795740429,19064.0,0.0,0.0,839.9639393060774,6500.888286325184,0.0,0.0,4.594700892207039,36.23380196737702
"n0","n1436","e53269",1,1,,,,44.293847244448024,11.0,120.0,1082.0831564890843,4314.088208068761,139656.5882789223,1.0,8.348469228349535,30.867794189422703,176.3046623002854
"n0","n1437","e37689",1,1,,,,14.470894824416217,282.0,0.0,645.5075522408704,3437.7617044661565,112761.58321318975,0.0,4.69041575982343,22.9939117624587,137.84179408593167
"n0","n1439","e24082",1,1,,,,10.140498226139739,7410.0,0.0,672.0770045165956,3943.9216707447795,128344.64687488569,0.0,3.0,18.85944598437818,142.2776374903584
"n0","n1440","e24085",2,1,,,,10.916721721573648,798.0,0.0,234.60605277784288,1274.9329355602622,66544.55673433204,0.0,1.4142135623730951,6.887917237171522,54.36348497203581
"n0","n1443","e24159",1,1,,,,13.655624398691137,1003.0,0.0,0.0,2366.612633798025,24201.192589771035,0.0,0.0,12.964399639206173,106.21244055148738
"n0","n1444","e24254",1,1,,,,40.39670682353762,1.0,0.0,0.0,1420.7488917058051,20325.898541904826,0.0,0.0,6.999999999999999,62.39020444137168
"n0","n1448","e30323",1,1,,,,35.44371796334882,196.0,120.0,1211.1119710338319,4722.793362762333,147628.50868600933,1.0,9.366600265340756,33.80585000323895,188.43997292036022
"n0","n1453","e24505",1,1,,,,31.442949472039626,29.0,0.0,0.0,1060.6683598887682,9278.588959209379,0.0,0.0,5.838272460814002,51.515822115572156
"n0","n1454","e24527",1,1,,,,75.4707842678733,69.0,0.0,1322.302705300282,5377.848301721677,164930.69029306195,0.0,9.9498743710662,37.466668520566174,208.46628390018947
"n0","n1456","e24731",1,1,,,,9.053048012607839,4060.0,0.0,0.0,975.1045276202166,8786.179210466413,0.0,0.0,5.1924941018511035,49.09779388614666
"n0","n1458","e51226",1,1,,,,31.38092250012306,370.0,0.0,1366.6401115306269,6350.200216914344,198811.04420246018,0.0,7.3484692283495345,33.98511948186465,219.9050149893452
"n0","n1460","e24977",1,1,,,,46.18588655721886,57.0,0.0,547.7499429484224,2775.5435608410216,103111.8073060138,0.0,4.242640687119285,19.577339158309076,125.57689450017332
"n0","n1461","e24980",1,1,,,,36.624593718857724,64.0,120.0,1238.7527281158543,4769.228266529836,151115.4304477608,1.0,9.48528137423857,34.14137212490085,190.29279832239737
"n0","n1462","e24986",1,1,,,,42.0827322552658,187.0,0.0,0.0,1847.2761638685254,16651.07978433686,0.0,0.0,10.555264175808151,66.8149862465448
"n0","n1463","e46996",1,1,,,,13.620022532491017,2374.0,0.0,0.0,1125.207355139616,9939.517612961565,0.0,0.0,6.188462762136203,55.77404941600969
"n0","n1464","e37414",1,1,,,,11.66102593931886,5645.0,0.0,366.742416417845,1815.5241324388617,83885.67517244683,0.0,2.0,10.363446607369195,82.8489757533027
"n0","n1465","e34362",1,1,,,,4.343269744696396,189.0,0.0,0.0,1957.627066317015,13113.697161889662,0.0,0.0,8.208082453158825,59.26023057975842
"n0","n1466","e25106",2,1,,,,31.01127105035108,226.0,0.0,3367.9707292869,11486.48223896227,611673.189700311,0.0,11.445523142259598,43.665363543998566,289.2507691493493
"n0","n1470","e26352",1,1,,,,45.44692094103931,4652.0,0.0,0.0,595.6873350645116,10029.890952815158,0.0,0.0,3.6088260801386944,30.00142330660569
"n0","n1471","e25252",1,1,,,,70.93515005392845,82.0,0.0,637.2205269763365,2845.7374557571693,116427.41465665345,0.0,3.4641016151377544,16.19423857099943,116.1621656201659
"n0","n1472","e25282",1,1,,,,31.27382370721704,1.0,120.0,702.4545761974348,3201.215890047414,106879.38753751243,1.0,5.69041575982343,22.731837243361273,135.87461636476698
"n0","n1474","e25304",1,1,,,,34.15315865450612,1.0,0.0,0.0,1249.08610070441,10555.982929578717,0.0,0.0,6.782422886028333,58.429287657003
"n0","n1477","e25386",1,1,,,,17.066797375632525,1.0,0.0,464.5409920914766,2344.0454750397284,94501.01906462626,0.0,3.1622776601683795,16.174101222847593,105.9053424697365
"n0","n1478","e25419",2,1,,,,2.4944804516882293,103.0,0.0,0.0,2097.28323327995,14827.141865532934,0.0,0.0,8.242570599617112,64.5073455686003
"n0","n1479","e48905",1,1,,,,5.639387799250897,958.0,0.0,0.0,2569.169837261846,18585.131985809894,0.0,0.0,10.880243650829593,82.64635672024664
"n0","n1482","e25461",1,1,,,,4.725724935151565,511.0,0.0,783.7238033899442,3553.8854175541496,125423.6458936062,0.0,5.916079783099616,25.26690290463467,154.1858912850602
"n0","n1484","e25554",1,1,,,,1.3858335400077588,39.0,0.0,318.6220331364421,1717.9451606574062,77844.31811817121,0.0,2.449489742783178,12.34847273527447,84.95042248804923
"n0","n1486","e25575",1,1,,,,14.678071189509778,2564.0,0.0,257.9922479455536,1877.579324112482,75314.24159079781,0.0,1.0,8.093970944750708,63.253884472870055
"n0","n1487","e25621",2,1,,,,26.43977841955158,295.0,0.0,1782.3060436786195,7822.671983404642,285033.943762473,0.0,6.557438524302,30.151298844239943,203.1731076801488
"n0","n1491","e26752",1,1,,,,6.80606061085168,505.0,0.0,325.1461209979292,1913.5444564199756,79015.76224400355,0.0,2.6457513110645907,13.423666859033261,95.31645333614485
"n0","n1492","e25689",1,1,,,,75.97921787341127,1.0,0.0,1387.6008071487995,5221.3191609990945,185242.11451377286,0.0,5.744562646538029,23.15223970980096,154.36089862756282
