Source;Target;Id;duplicate;UMich;ASU;IUB;IUPUI;Dist2Air;MASS;Seats0Stop;Seats1Stop;Seats2Stop;Seats3Stop;Lines0Stop;Lines1Stop;Lines2Stop;Lines3Stop;GeoDist;CollabPaperCount;institution;NLink;cosine
n4;n2396;448910;1;;;1;;0.705742985;814;0;0;563.850798;4255.847456;0;0;3.44821724;25.36018334;5208.595069;0;3;2;0.731757677
n4;n2397;448911;1;;;1;;21.40931017;970;0;489.8979486;3847.818346;84165.18191;0;3.16227766;22.78088418;149.754757;4332.299592;0;3;1;0.755210281
n4;n2398;448912;1;;;1;;10.64130338;1;0;0;598.3996761;6816.443433;0;0;3.301927249;29.9548492;5753.813611;0;3;2;0.865764487
n4;n2400;448914;1;;;1;;34.26638149;25;0;433.552765;1924.546096;45041.71199;0;3.31662479;14.10600621;87.75779611;239.5294498;0;3;1;0.422498526
n4;n2401;448915;1;;;1;;6.556979211;1198;0;0;1242.345714;8328.215248;0;0;7.337233921;48.01356839;4615.936656;0;3;2;0.688361255
n4;n2402;448916;1;;;1;;54.04727098;26;0;0;757.3982828;5670.716364;0;0;4.546835944;33.85458472;4901.047308;0;3;2;0.46459115
n4;n2403;448917;1;;;1;;4.536453972;5;0;0;0;1004.586852;0;0;0;5.458648745;9338.007873;0;3;3;0.865764487
n4;n2405;448919;1;;;1;;34.83995942;1;0;0;0;1738.15999;0;0;0;9.315353086;6752.008651;0;3;3;0.865764487
n4;n2406;448920;1;;;1;;12.63338269;7;0;0;1035.320395;7165.310336;0;0;7.894446773;50.54147218;1329.968881;0;3;2;0.40862992
n4;n2408;448922;1;;;1;;96.42941588;93;0;0;532.8825966;4105.13722;0;0;3.072316826;21.24241793;8730.135237;0;3;2;0.614244613
n4;n2409;448923;1;;;1;;60.60556797;12;0;1213.904444;4335.320565;83973.61845;0;9.848857802;33.69157937;184.162234;396.8592085;0;3;1;0.865764487
n4;n2411;448925;1;;;1;;14.83945091;419;0;0;576.1122466;4307.92035;0;0;3.44821724;25.21358271;4978.138828;0;3;2;0.782075484
n4;n2412;448926;1;;;1;;36.43324914;21;0;0;982.3159166;19456.84904;0;0;6.091199349;50.65180344;3904.036074;0;3;2;0.668194403
n4;n2413;448927;1;;;1;;25.70112529;106;0;0;1242.508333;8347.51571;0;0;7.392541792;49.2193989;5199.939816;0;3;2;0.634199834
n4;n2414;448928;1;;;1;;70.69462888;1;0;1127.736671;5347.547652;139650.4383;0;5.477225575;27.82433719;171.2356031;6275.881971;0;3;1;0.865764487
n4;n2415;448929;1;;;1;;56.74317997;5;0;317.4901573;1860.768304;39108.54081;0;2.645751311;14.7921072;99.53152429;370.3300592;0;3;1;0.865764487
n4;n2416;448930;1;;;1;;14.29341064;16;0;0;480.1398512;2949.349538;0;0;3.174802104;19.35682616;2801.20579;0;3;2;0.40862992
n4;n2418;448932;1;;;1;;58.82912131;351;0;0;1231.679427;15858.20333;0;0;6.861212036;56.22356249;4808.578897;0;3;2;0.376701468
n4;n2419;448933;1;;;1;;67.87574193;1;0;635.5889657;3244.371694;69007.39821;0;4;20.40378655;124.8221404;2921.974059;0;3;1;0.865764487
n4;n2420;448934;1;;;1;;16.60398246;205;0;0;1707.078618;12403.54696;0;0;10.0793684;73.39078041;4611.319341;0;3;2;0.453584425
n4;n2421;448935;1;;;1;;46.27198654;1;0;0;563.850798;4298.341016;0;0;3.44821724;26.21514764;5484.309665;0;3;2;0.865764487
n4;n2424;448938;1;;;1;;69.43571452;231;0;0;3425.618063;32607.96743;0;0;15.49601007;108.3963078;7577.462615;0;3;2;0.744116283
n4;n2426;448940;1;;;1;;9.306796359;183;0;0;450.6361373;11460.07761;0;0;2.924017738;28.82863527;4525.208729;0;3;2;0.511935944
n4;n2427;448941;1;;;1;;13.6824254;62;0;0;808.9586374;8897.558413;0;0;5.289572473;44.50866401;4347.615945;0;3;2;0.583194084
n4;n2428;448942;1;;;1;;112.0455402;1;0;0;0;604.6896013;0;0;0;4.578846251;3005.928444;0;3;3;0.865764487
n4;n2429;448943;1;;;1;;130.2764835;1;0;0;0;604.6896013;0;0;0;4.578846251;2955.170773;0;3;3;0.865764487
n4;n2432;448946;1;;;1;;16.13359177;29887;0;0;2515.657964;23838.75511;0;0;12.3529434;89.52178344;7398.00701;50;3;2;0.884245086
n4;n2433;448947;1;;;1;;8.302754433;129;0;0;0;1529.450419;0;0;0;8.619311934;7966.740874;0;3;3;0.835349543
n4;n2435;448949;1;;;1;;5.426351154;11;0;248.1128775;1200.122124;32841.77859;0;2;9.324829445;63.37892817;1198.117017;0;3;1;0.22065959
n4;n2436;448950;1;;;1;;59.38655595;19;0;0;2076.728293;14436.12492;0;0;9.840812721;71.11442806;7746.285136;0;3;2;0.448977485
n4;n2438;448952;1;;;1;;49.33695521;357;0;0;0;6933.189105;0;0;0;19.33965716;3800.310009;0;3;3;0.492128382
n4;n2439;448953;1;;;1;;64.48667498;1;0;0;0;2142.019685;0;0;0;10.77222016;8679.280953;0;3;3;0.865764487
n4;n2440;448954;1;;;1;;76.31805268;1;0;0;1073.329438;9734.566069;0;0;5.289572473;47.37491599;8578.281728;0;3;2;0.865764487
n4;n2441;448955;1;;;1;;22.80001888;527;0;0;1390.143363;15656.25687;0;0;8.387206527;73.61372237;4211.322645;0;3;2;0.549184381
n4;n2443;448957;1;;;1;;35.29188509;1;0;120;886.9579445;23349.90478;0;1.732050808;10.40774817;75.65428136;286.4708968;0;3;1;0.865764487
n4;n2447;448961;1;;;1;;50.96591425;173;0;0;1525.736457;11275.99802;0;0;7.905129393;58.2412096;7399.962312;0;3;2;0.790769231
n4;n2448;448962;1;;;1;;26.52254284;37;0;240;1456.057696;33388.45448;0;2;11.36750512;80.79621628;725.9293042;0;3;1;0.28348304
n4;n2449;448963;1;;;1;;6.002306008;1472;0;0;0;678.7536955;0;0;0;6.140491477;3910.789738;0;3;3;0.560320767
n4;n2450;448964;1;;;1;;30.57566962;137;0;0;740.8280237;7860.33835;0;0;5.013297935;48.01454202;3940.498698;0;3;2;0.512092229
n4;n2452;448966;1;;;1;;64.67027488;107;0;123.6931688;1009.859293;23666.23955;0;1;7.789661336;54.11069908;623.2190513;0;3;1;0.43989363
n4;n2453;448967;1;;;1;;36.33350982;1;0;123.6931688;1009.079277;23617.2336;0;1;7.782422886;53.83523273;646.7234219;0;3;1;0.865764487
n4;n2455;448969;1;;;1;;36.6708559;34;0;634.1293243;2373.024446;54021.87539;0;5.196152423;18.36361129;114.4875332;472.1005315;0;3;1;0.552255324
n4;n2458;448972;1;;;1;;33.45155621;1000;0;0;2588.227748;21269.77672;0;0;15.53478141;107.4962097;4320.898262;0;3;2;0.3337412
n4;n2459;448973;1;;;1;;40.53108356;13;0;0;0;6292.668715;0;0;0;8.513867378;4494.090435;0;3;3;0.397059324
n4;n2461;448975;1;;;1;;33.83107952;770;0;0;1517.969917;15010.61493;0;0;8.247473974;67.91000176;5764.680945;0;3;2;0.708935361
n4;n2462;448976;1;;;1;;45.4645052;1;0;0;1517.969917;15010.61493;0;0;8.247473974;67.91000176;5729.473752;0;3;2;0.865764487
n4;n2465;448979;1;;;1;;0.969641295;1;0;0;945.3162527;8258.783549;0;0;5.738793548;46.56789263;6330.428225;0;3;2;0.865764487
n4;n2466;448980;1;;;1;;44.46650721;7;0;420.428353;1769.028248;43347.68251;0;3.464101615;13.6570225;92.52825041;538.6781803;0;3;1;0.865764487
n4;n2467;448981;1;;;1;;120.4086129;10;0;429.7441099;1822.602218;45360.97936;0;3.464101615;14.1610641;86.1767688;1263.132635;0;3;1;0.217670757
n4;n2470;448984;1;;;1;;11.60757501;1937;0;0;845.0189322;8212.698731;0;0;4.447960181;40.74999831;7878.289046;0;3;2;0.662399382
n4;n2471;448985;1;;;1;;80.62074302;8;0;502.7922036;2448.439995;50507.18695;0;4;18.86395503;116.6206004;1294.441011;0;3;1;0.207644506
n4;n2473;448987;1;;;1;;9.622663947;1270;0;0;710.4074894;5077.271035;0;0;4.344481486;30.22800897;5200.485093;0;3;2;0.802969452
n4;n2474;448988;1;;;1;;61.3977164;23080;0;0;3017.282236;24897.38628;0;0;18.00719877;119.0052918;4425.288385;0;3;2;0.799523384
n4;n2475;448989;1;;;1;;38.97920872;11;0;101.1928851;609.0223896;20560.58044;0;1.414213562;7.222999296;42.53936741;580.4657774;0;3;1;0.865764487
n4;n2478;448992;1;;;1;;9.197017795;15393;0;0;1779.451174;16265.87226;0;0;11.07388281;81.05426884;4410.628286;0;3;2;0.837608784
n4;n2479;448993;1;;;1;;4.131681229;581;0;573.1538479;2659.600613;52703.88959;0;4.582575695;20.37815209;122.6066344;640.2929599;0;3;1;0.648359071
n4;n2480;448994;1;;;1;;59.06177825;26;0;0;0;2167.340033;0;0;0;10.8502053;8624.036649;0;3;3;0.396522582
n4;n2481;448995;1;;;1;;13.23970462;11733;0;489.8979486;3166.344977;88706.38754;0;3.16227766;19.21548594;132.9277832;3924.933501;0;3;1;0.970655658
n4;n2483;448997;1;;;1;;9.074570438;1201;0;0;3015.383436;22696.02236;0;0;17.06549132;112.5089041;4591.676179;1;3;2;0.616583556
n4;n2484;448998;1;;;1;;85.81118019;1;0;0;1019.344426;8253.292728;0;0;5.406120176;43.81622005;7319.985758;1;3;2;0.865764487
n4;n2485;448999;1;;;1;;62.39791662;214;0;0;2431.520539;18479.05165;0;0;10.250347;82.53749077;7974.614577;0;3;2;0.555005116
n4;n2486;449000;1;;;1;;90.34603797;97;0;0;671.3900006;5385.970712;0;0;3.870876641;28.10971226;8474.23842;0;3;2;0.506622055
n4;n2487;449001;1;;;1;;9.419323231;1313;0;0;1410.55625;10094.79528;0;0;7.713844772;57.15989052;4794.653819;0;3;2;0.677841146
n4;n2491;449005;1;;;1;;137.8739568;7;0;0;768.3160591;5220.343265;0;0;5.788960372;36.52457325;2551.415851;0;3;2;0.865764487
n4;n2492;449006;1;;;1;;44.68393317;1;0;0;958.3356347;7798.47477;0;0;5.217103446;41.61971455;7369.958611;0;3;2;0.865764487
n4;n2493;449007;1;;;1;;3.474029633;3097;0;0;1249.935979;19460.24094;0;0;7.067376615;56.09547069;5892.425377;0;3;2;0.787332243
n4;n2494;449008;1;;;1;;27.88432196;178;0;0;1742.573213;16091.42923;0;0;10.61772281;83.17973136;4456.528899;0;3;2;0.390227431
n4;n2495;449009;1;;;1;;0.945453889;5;0;0;375.1073589;2605.881378;0;0;3.892996416;24.90506929;2068.491574;0;3;2;0.228346197
